feature	dropped_sample	delta_healer_minus_nonhealer	same_direction_as_full
SRRS_4_equal	G15	1.262614436413064	True
SRRS_4_equal	G2	1.3455284209995773	True
SRRS_4_equal	G23	1.2438689151954239	True
SRRS_4_equal	G33	1.276324743657101	True
SRRS_4_equal	G34	1.281448164831012	True
SRRS_4_equal	G39	1.505467795207848	True
SRRS_4_equal	G4	1.348225533563261	True
SRRS_4_equal	G42	1.4224950977047088	True
SRRS_4_equal	G45	1.2363612611650412	True
SRRS_4_equal	G49	1.310992271516229	True
SRRS_4_equal	G6	1.2999781795895808	True
SRRS_4_equal	G7	1.3085632219254344	True
SRRS_4_equal	G8	1.3896607708393462	True
SRRS_4_equal	G9	1.2302866330045061	True
SRRS_3_no_receiver	G15	1.462544892249863	True
SRRS_3_no_receiver	G2	1.535483474402441	True
SRRS_3_no_receiver	G23	1.4441815660695103	True
SRRS_3_no_receiver	G33	1.450062381045329	True
SRRS_3_no_receiver	G34	1.4801617578128448	True
SRRS_3_no_receiver	G39	1.6855304256122698	True
SRRS_3_no_receiver	G4	1.5093083298858243	True
SRRS_3_no_receiver	G42	1.703415966729338	True
SRRS_3_no_receiver	G45	1.5000641178061223	True
SRRS_3_no_receiver	G49	1.5641560062274793	True
SRRS_3_no_receiver	G6	1.6172889707660651	True
SRRS_3_no_receiver	G7	1.5347913469629137	True
SRRS_3_no_receiver	G8	1.607191983424928	True
SRRS_3_no_receiver	G9	1.4675885112959475	True
SRRS_receiver_10pct	G15	1.3825727099151435	True
SRRS_receiver_10pct	G2	1.4595014530412957	True
SRRS_receiver_10pct	G23	1.3640565057198757	True
SRRS_receiver_10pct	G33	1.3805673260900375	True
SRRS_receiver_10pct	G34	1.4006763206201116	True
SRRS_receiver_10pct	G39	1.6135053734505012	True
SRRS_receiver_10pct	G4	1.444875211356799	True
SRRS_receiver_10pct	G42	1.5910476191194864	True
SRRS_receiver_10pct	G45	1.39458297514969	True
SRRS_receiver_10pct	G49	1.4628905123429792	True
SRRS_receiver_10pct	G6	1.4903646542954712	True
SRRS_receiver_10pct	G7	1.4443000969479218	True
SRRS_receiver_10pct	G8	1.5201794983906953	True
SRRS_receiver_10pct	G9	1.3726677599793713	True
SRRS_receiver_20pct	G15	1.3026005275804242	True
SRRS_receiver_20pct	G2	1.3835194316801507	True
SRRS_receiver_20pct	G23	1.2839314453702413	True
SRRS_receiver_20pct	G33	1.311072271134746	True
SRRS_receiver_20pct	G34	1.321190883427379	True
SRRS_receiver_20pct	G39	1.5414803212887325	True
SRRS_receiver_20pct	G4	1.380442092827774	True
SRRS_receiver_20pct	G42	1.4786792715096353	True
SRRS_receiver_20pct	G45	1.289101832493258	True
SRRS_receiver_20pct	G49	1.3616250184584793	True
SRRS_receiver_20pct	G6	1.3634403378248776	True
SRRS_receiver_20pct	G7	1.3538088469329304	True
SRRS_receiver_20pct	G8	1.4331670133564631	True
SRRS_receiver_20pct	G9	1.2777470086627956	True
SRRS_2_fibroblast_ligand	G15	1.590091101401692	True
SRRS_2_fibroblast_ligand	G2	1.7080537173064303	True
SRRS_2_fibroblast_ligand	G23	1.5926496505356464	True
SRRS_2_fibroblast_ligand	G33	1.6376997251545222	True
SRRS_2_fibroblast_ligand	G34	1.6529042807444498	True
SRRS_2_fibroblast_ligand	G39	1.8524704768258888	True
SRRS_2_fibroblast_ligand	G4	1.7192551577857227	True
SRRS_2_fibroblast_ligand	G42	1.8205096848372067	True
SRRS_2_fibroblast_ligand	G45	1.6245645339333947	True
SRRS_2_fibroblast_ligand	G49	1.7048887716390106	True
SRRS_2_fibroblast_ligand	G6	1.7046041348268948	True
SRRS_2_fibroblast_ligand	G7	1.723861520818172	True
SRRS_2_fibroblast_ligand	G8	1.7508499980156094	True
SRRS_2_fibroblast_ligand	G9	1.6160570137109573	True
SRRS_3_no_d7	G15	1.2810017572353507	True
SRRS_3_no_d7	G2	1.3972568984679494	True
SRRS_3_no_d7	G23	1.2760767545481522	True
SRRS_3_no_d7	G33	1.3435037606004863	True
SRRS_3_no_d7	G34	1.3303719824581384	True
SRRS_3_no_d7	G39	1.5567402858821202	True
SRRS_3_no_d7	G4	1.4344958200556723	True
SRRS_3_no_d7	G42	1.406917286768412	True
SRRS_3_no_d7	G45	1.2314605863695296	True
SRRS_3_no_d7	G49	1.3204262035535002	True
SRRS_3_no_d7	G6	1.2524180252379729	True
SRRS_3_no_d7	G7	1.3592006294831136	True
SRRS_3_no_d7	G8	1.4129223763712737	True
SRRS_3_no_d7	G9	1.2501650085173677	True
SRRS_3_no_ligand	G15	1.1489349287774342	True
SRRS_3_no_ligand	G2	1.221175331202419	True
SRRS_3_no_ligand	G23	1.114633780321427	True
SRRS_3_no_ligand	G33	1.1469193890714706	True
SRRS_3_no_ligand	G34	1.1507241439110774	True
SRRS_3_no_ligand	G39	1.3892909781377114	True
SRRS_3_no_ligand	G4	1.2073522950856734	True
SRRS_3_no_ligand	G42	1.288227787515937	True
SRRS_3_no_ligand	G45	1.1068496982958884	True
SRRS_3_no_ligand	G49	1.1804371830576974	True
SRRS_3_no_ligand	G6	1.1605918253511753	True
SRRS_3_no_ligand	G7	1.1569720845755107	True
SRRS_3_no_ligand	G8	1.2608707078400228	True
SRRS_3_no_ligand	G9	1.0888368839019043	True
