Donor	Condition	Sample_name	spatial_SRRS_ligand_panel_excluded	spots
Donor1	Skin	Donor1_Skin	-0.27209626873450826	810
Donor1	Wound1	Donor1_Wound1	-0.37678319501973045	1832
Donor1	Wound30	Donor1_Wound30	0.03292887922576342	1278
Donor1	Wound7	Donor1_Wound7	0.4333294435835273	1689
Donor2	Skin	Donor2_Skin	-0.29977061289800655	842
Donor2	Wound1	Donor2_Wound1	0.01723467813764719	1758
Donor2	Wound30	Donor2_Wound30	0.29111306315479746	2205
Donor2	Wound7	Donor2_Wound7	-0.22473576913164203	1606
Donor3	Skin	Donor3_Skin	-0.6439368925426786	685
Donor3	Wound1	Donor3_Wound1	-0.2318552353454957	1317
Donor3	Wound30	Donor3_Wound30	-0.24824216176637956	2019
Donor3	Wound7	Donor3_Wound7	0.43544052906134567	1537
Donor4	Skin	Donor4_Skin	-0.422499582120986	740
Donor4	Wound1	Donor4_Wound1	0.13801866802183368	1608
Donor4	Wound30	Donor4_Wound30	0.10621116483454789	1777
Donor4	Wound7	Donor4_Wound7	0.4605406488543198	1212
