Donor	Condition	Sample_name	spatial_SRRS	spatial_SRRS_resid	negative_housekeeping_control_z	fibroblast_stromal_marker	endothelial_marker	pericyte_smc_marker	ecm_remodeling_marker	spots
Donor1	Skin	Donor1_Skin	-0.3411614956740944	-0.30735716245106975	-0.011079965862074121	0.40745373297840826	0.08532589384791414	0.07855500959749613	-0.30349709666431307	810
Donor1	Wound1	Donor1_Wound1	-0.3466887488874413	0.04604611004567307	0.07655992288355638	-0.8895513470928904	-0.15339652777619536	-0.26357397070703065	-0.0745224251932746	1832
Donor1	Wound7	Donor1_Wound7	0.42215050072051635	0.19183712269489836	0.6915734523069355	-0.30737289841093146	0.059093740592539475	0.057480733759622794	0.5129907425379473	1689
Donor1	Wound30	Donor1_Wound30	-0.04998459701436794	-0.1714741638193918	0.1716770817002424	0.29259991772327193	0.1784848579681554	0.3453191834345098	-0.16152541673418855	1278
Donor2	Skin	Donor2_Skin	-0.34723292176080783	-0.25663483300539275	-0.30072400183090414	0.4610773530571612	-0.06435580725091669	0.01437514256674347	-0.25418096387684375	842
Donor2	Wound1	Donor2_Wound1	0.04957648454804188	0.11712002238760257	0.23418588557651845	-0.675966092330197	0.02420390391002686	-0.0003679009659879354	0.17098410350115814	1758
Donor2	Wound7	Donor2_Wound7	-0.25082419163737385	0.01545744436080602	-0.07868836376222305	-0.46611010416362786	0.1743768772549991	0.09943839857309196	-0.14776932096613601	1606
Donor2	Wound30	Donor2_Wound30	0.29591270316044443	-0.032604968529675565	-0.13899588283024256	0.8019586607873401	0.0882806311331029	0.08097372854289557	0.015199615899633484	2205
Donor3	Skin	Donor3_Skin	-0.6194153100853876	-0.12921925134709555	-0.7964550899297865	0.12614871007255568	-0.25550212392284327	-0.28465968287739124	-0.32064952679655345	685
Donor3	Wound1	Donor3_Wound1	-0.17497751272655698	0.01626356911417612	-0.17080721756512093	-0.8576378982641318	-0.2217737941512304	-0.2591075259489335	0.014390090432090554	1317
Donor3	Wound7	Donor3_Wound7	0.5226178741187292	0.3535809851537102	0.14957539044079898	0.1659968799836697	0.055951208007025	0.08020442568869988	0.33755995550654777	1537
Donor3	Wound30	Donor3_Wound30	-0.2944808301179179	-0.24031167101630865	-0.4434000695706958	0.5012966663632746	-0.04163271387349749	0.0027597729007594897	-0.27347533940343527	2019
Donor4	Skin	Donor4_Skin	-0.4486637026101199	-0.22330897111863082	-0.40959225255137605	0.12851368623347434	-0.20667208370673934	0.010099527043761965	-0.3105303535227464	740
Donor4	Wound1	Donor4_Wound1	0.15753103144526734	0.1132658352683721	0.25779078042414816	-0.32399762592902137	0.007681406507153451	-0.013485853746612965	0.15751618434549178	1608
Donor4	Wound7	Donor4_Wound7	0.468241703493987	0.13771594633635648	0.4586493057140306	0.19072836475170726	0.058217305101166364	0.07507192807408394	0.20319582652608636	1212
Donor4	Wound30	Donor4_Wound30	0.09855026010295243	-0.03262265395872959	-0.2677792235573013	0.672916861178548	-0.024701570331183868	-0.07780102544428019	-0.11039849490023923	1777
